Covaldea_	Covaldea_i	Codigo	Nombre	Latitude	Longitude	X_coord	Y_coord	Muni_cov	Setaccu	Codemun	Ald88num	Ald74off	Ald74name	Depto74	Codemun74
1	2277	110203	Mangrove Bight	16.48362108	-85.87691419	619863.4	1824842	1102	3	1102	110203	110201	MANGROVE BIGHT	11	1102
2	2278	110202	East End	16.46673345	-85.83190979	624678.1	1822974	1102	0	0	110202	110203	WEST END	11	1102
3	2279	110204	Savannah Bight	16.46523273	-85.84459849	623324.5	1822808	1102	0	0	110204	110202	SAVANNA BIGHT	11	1102
4	2280	110201	Guanaja	16.4209975	-85.88704106	618820.6	1817915	1102	0	0	110201	110200	GUANAJA	11	1102
5	2267	110303	Isla de Barbareta	16.41816782	-86.14684339	591082.6	1817602	1103	3	1103	110303	110303	ISLA BARBARETA	11	1103
6	2266	110308	Santa Elena o Banda Sur	16.39891146	-86.20941892	584409.9	1815472	1103	3	1103	110308	110307	SANTA ELENA	11	1103
7	2263	110307	Punta Gorda	16.39217625	-86.36545235	567751.8	1814727	1103	3	1103	110307	110306	PUNTA GORDA	11	1103
8	2268	110306	Pollytilly Bight	16.38052296	-86.39077044	565052.3	1813438	1103	3	1103	110306	110305	POLLYTILLY	11	1103
9	2265	110302	Calabash Bight	16.37053313	-86.33778356	570714	1812333	1103	3	1103	110302	110301	CALABASH BIGHT	11	1103
10	2261	110304	Jonesville Point	16.36998166	-86.36695324	567599.2	1812272	1103	3	1103	110304	110302	JONESVILLE	11	1103
11	2264	110301	Jose Santos Guardiola	16.36805601	-86.35021161	569387.7	1812059	1103	3	1103	110301	110300	JOSE SANTOS GUARDIOL	11	1103
12	2269	110309	Six Huts	16.36651912	-86.42472364	561431.1	1811889	1103	3	1103	110309	110308	SIX HUTS	11	1103
13	2262	110305	Long The Shore	16.36469292	-86.36731866	567562	1811687	1103	0	0	110305	110304	LONG THE SHORE	11	1103
14	2020	90113	Islas del Cisne	16.36419569	-83.8773258	833633.1	1811632	901	0	0	90113	90118	ISLAS DEL CISNE	9	901
15	2271	110104	Crawfish Rock	16.34826617	-86.47189383	556399.1	1809870	1101	3	1101	110104	110102	CRWA FISH ROCK	11	1101
16	2270	110106	French Harbor	16.32764455	-86.45565955	558139	1807589	1101	3	1101	110106	110104	FRENCH HARBOR	11	1101
17	2272	110103	Corozal	16.32275358	-86.51224823	552096.1	1807048	1101	3	1101	110103	110101	COROZAL	11	1101
18	2274	110107	Sandy Bay	16.31076572	-86.56339411	546636	1805722	1101	0	0	110107	110105	SANDY BAY	11	1101
19	2273	110108	Thatch Point	16.29622838	-86.51749344	551542.8	1804114	1101	3	1101	110108	110106	THACHT POINT	11	1101
20	2259	110101	Roatan	16.2920064	-86.53784211	549370.1	1803647	1101	3	1101	110101	110100	ROATAN	11	1101
21	2275	110109	West End	16.27748711	-86.5936902	543407.2	1802041	1101	0	0	110109	110107	WEST END	11	1101
22	2276	110105	Flowers Bay	16.27169205	-86.56792387	546161.3	1801400	1101	3	1101	110105	110103	FLOWERS BAY	11	1101
23	2281	110401	Utila	16.07397093	-86.89741584	510970.5	1779530	1104	3	1104	110401	110400	UTILA	11	1104
24	366	20108	Puerto Castilla	15.98744079	-85.96721084	610502.1	1769959	201	3	201	20108	20107	PUERTO CASTILLA	2	201
25	383	20311	Tocamacho	15.96631217	-85.00261693	713764.5	1767622	203	0	0	20311	20308	TOCAMACHO	2	203
26	384	20309	Sangrelaya	15.95288639	-85.09612737	703766.3	1766137	203	3	203	20309	20305	SANGRELAYA	2	203
27	2080	90203	Batalla	15.94955029	-84.94792412	719638.8	1765768	902	3	902	90203	90202	BATALLA	9	902
28	2260	110102	Cayos Cochinos	15.94936947	-86.47958419	555689.4	1765748	1101	3	1101	110102	110108	CAYOS COCHINOS	11	1101
29	399	20702	Vuelta Grande	15.93227304	-85.7286942	636063.3	1763857	207	0	0	20702	20601	VUELTA GRANDE	2	206
30	2079	90210	Palacios	15.93207414	-84.92755787	721838.9	1763835	902	3	902	90210	90207	PLAPLAYA	9	902
31	385	20301	Iriona	15.9305643	-85.12891352	700278.1	1763668	203	0	0	20301	20300	IRIONA	2	203
32	400	20701	Santa Rosa de Aguan	15.9288646	-85.68157901	641109.2	1763480	207	3	207	20701	20600	SANTA ROSA DE AGUAN	2	206
34	386	20308	San Jose de La Punta	15.91319662	-85.14896178	698148.4	1761747	203	3	203	20308	20306	SAN JOSE DE LA PUNTA	2	203
36	387	20304	Iriona Viejo	15.9033962	-85.16024842	696949.3	1760663	203	3	203	20304	20303	IRIONA VIEJO	2	203
37	2077	90206	Ibans	15.89513275	-84.81048064	734420.4	1759749	902	3	902	90206	90204	IBANS	9	902
